league,sport_key,event_id,commence_time_utc,commence_time_local,commence_local_str,home_team,away_team,home_ml_best,away_ml_best,home_ml_prob_devig_med,away_ml_prob_devig_med,spread_home_point,spread_home_price_best,spread_away_point,spread_away_price_best,total_points,total_over_price_best,total_under_price_best,home_wins,home_losses,home_ties,home_winPercent,home_streak,home_pointsFor,home_pointsAgainst,home_ppg,home_opp_ppg,home_avg_diff,away_wins,away_losses,away_ties,away_winPercent,away_streak,away_pointsFor,away_pointsAgainst,away_ppg,away_opp_ppg,away_avg_diff
NBA,basketball_nba,a9cbe798da439bd9d012976f7738591b,2025-12-18T01:10:00+00:00,2025-12-17T19:10:00-06:00,Wed Dec 17 • 07:10 PM,Chicago Bulls,Cleveland Cavaliers,180.0,-200.0,0.34929577464788736,0.6507042253521127,5.5,-101.0,-5.5,-110.0,243.5,-105.0,-110.0,10.0,15.0,,0.4,-1.0,2931.0,3059.0,117.24,122.36,-5.1200000000000045,15.0,12.0,,0.5555556,-1.0,3205.0,3130.0,118.70370370370371,115.92592592592592,2.7777777777777857
NBA,basketball_nba,3dfcf87c4c788368e199e9d23b2c1831,2025-12-18T01:10:00+00:00,2025-12-17T19:10:00-06:00,Wed Dec 17 • 07:10 PM,Minnesota Timberwolves,Memphis Grizzlies,-280.0,255.0,0.7180484671116029,0.2819515328883972,-7.5,-108.0,7.5,-104.0,232.5,-107.0,-107.0,17.0,9.0,,0.65384614,2.0,3115.0,2977.0,119.8076923076923,114.5,5.307692307692307,12.0,14.0,,0.46153846,1.0,2973.0,3000.0,114.34615384615384,115.38461538461539,-1.0384615384615472
NBA,basketball_nba,ec6d61cb03f048a8ced4fa2bb3bb7b03,2025-12-19T00:40:00+00:00,2025-12-18T18:40:00-06:00,Thu Dec 18 • 06:40 PM,Brooklyn Nets,Miami Heat,210.0,-250.0,0.3101477260105433,0.6898522739894567,6.5,-110.0,-6.5,-110.0,227.5,-110.0,-110.0,7.0,18.0,,0.28,1.0,2755.0,2897.0,110.2,115.88,-5.679999999999993,14.0,12.0,,0.53846157,-5.0,3139.0,3061.0,120.73076923076923,117.73076923076923,3.0
NBA,basketball_nba,4cece5fd2474ad97c387333029d56ccf,2025-12-19T01:10:00+00:00,2025-12-18T19:10:00-06:00,Thu Dec 18 • 07:10 PM,New Orleans Pelicans,Houston Rockets,350.0,-425.0,0.22316684378320936,0.7768331562167907,9.5,-105.0,-9.5,-115.0,234.5,-110.0,-110.0,5.0,22.0,,0.18518518,2.0,3083.0,3316.0,114.18518518518519,122.81481481481481,-8.629629629629619,16.0,7.0,,0.6956522,-1.0,2779.0,2557.0,120.82608695652173,111.17391304347827,9.65217391304347
NFL,americanfootball_nfl,ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00+00:00,2025-12-18T19:15:00-06:00,Thu Dec 18 • 07:15 PM,Seattle Seahawks,Los Angeles Rams,-105.0,-108.0,0.5,0.5,0.0,-103.0,0.0,-107.0,44.0,-105.0,-104.0,11.0,3.0,,0.78571427,4.0,405.0,242.0,,,163.0,11.0,3.0,,0.78571427,2.0,420.0,261.0,,,159.0
NBA,basketball_nba,e910fe9181a947bc12d92330014fa0b8,2025-12-19T02:10:00+00:00,2025-12-18T20:10:00-06:00,Thu Dec 18 • 08:10 PM,Utah Jazz,Los Angeles Lakers,200.0,-240.0,0.3222137983320697,0.6777862016679302,6.5,-110.0,-6.5,-110.0,241.5,-110.0,-105.0,10.0,15.0,,0.4,2.0,2974.0,3153.0,118.96,126.12,-7.160000000000011,18.0,7.0,,0.72,1.0,2956.0,2916.0,118.24,116.64,1.5999999999999943
NFL,americanfootball_nfl,18fe4528a0bc43d9cd64bd09c0d5019f,2025-12-20T22:00:00+00:00,2025-12-20T16:00:00-06:00,Sat Dec 20 • 04:00 PM,Washington Commanders,Philadelphia Eagles,250.0,-285.0,0.28343023255813954,0.7165697674418604,6.5,-107.0,-6.5,-103.0,44.5,-104.0,-110.0,4.0,10.0,,0.2857143,1.0,291.0,375.0,,,-84.0,9.0,5.0,,0.64285713,1.0,320.0,271.0,,,49.0
NFL,americanfootball_nfl,9f70d98bc6918dc8e21f329405b649fe,2025-12-21T01:20:00+00:00,2025-12-20T19:20:00-06:00,Sat Dec 20 • 07:20 PM,Chicago Bears,Green Bay Packers,-102.0,-108.0,0.49204210939992765,0.5079578906000723,1.0,-110.0,-1.0,100.0,46.5,-110.0,-102.0,10.0,4.0,,0.71428573,1.0,365.0,338.0,,,27.0,9.0,4.0,1.0,0.6785714,-1.0,348.0,281.0,,,67.0
NFL,americanfootball_nfl,2557976e0e66ab698539b543de125469,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,Cleveland Browns,Buffalo Bills,480.0,-550.0,0.18530351437699683,0.8146964856230032,10.0,-101.0,-10.0,-109.0,42.0,-107.0,-107.0,3.0,11.0,,0.21428572,-3.0,226.0,332.0,,,-106.0,10.0,4.0,,0.71428573,3.0,411.0,324.0,,,87.0
NFL,americanfootball_nfl,d056f31082bdea4d018a26ba274b8430,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,Carolina Panthers,Tampa Bay Buccaneers,142.0,-155.0,0.4088050314465409,0.5911949685534592,3.0,-110.0,-3.0,100.0,45.5,-104.0,-110.0,7.0,7.0,,0.5,-1.0,264.0,317.0,,,-53.0,7.0,7.0,,0.5,-2.0,327.0,354.0,,,-27.0
NFL,americanfootball_nfl,945286798abb5081432aef109df29778,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,Miami Dolphins,Cincinnati Bengals,125.0,-134.0,0.4402054292002935,0.5597945707997065,2.5,-105.0,-2.5,-105.0,50.5,-107.0,-107.0,6.0,8.0,,0.42857143,-1.0,296.0,324.0,,,-28.0,4.0,10.0,,0.2857143,-2.0,314.0,437.0,,,-123.0
NFL,americanfootball_nfl,aa9d0cf732b6adde4ad3ec04ca79825c,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,Dallas Cowboys,Los Angeles Chargers,-122.0,115.0,0.5369611539091952,0.46303884609080476,-1.0,-113.0,1.0,102.0,49.5,-107.0,-105.0,6.0,7.0,1.0,0.4642857,-2.0,407.0,420.0,,,-13.0,10.0,4.0,,0.71428573,3.0,315.0,284.0,,,31.0
NFL,americanfootball_nfl,0cce34b9a49c4c6bdc1e65449e37a0f9,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,Tennessee Titans,Kansas City Chiefs,164.0,-180.0,0.37889039242219213,0.6211096075778079,3.5,-114.0,-3.5,103.0,37.5,-107.0,-107.0,2.0,12.0,,0.14285715,-1.0,225.0,394.0,,,-169.0,6.0,8.0,,0.42857143,-3.0,328.0,268.0,,,60.0
NFL,americanfootball_nfl,3db6ba91d2a72ada8843d5a0517bff27,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,New York Giants,Minnesota Vikings,130.0,-145.0,0.42720797057591137,0.5727920294240887,3.0,-110.0,-3.0,105.0,43.5,-107.0,-105.0,2.0,12.0,,0.14285715,-8.0,300.0,396.0,,,-96.0,6.0,8.0,,0.42857143,2.0,289.0,307.0,,,-18.0
NFL,americanfootball_nfl,aa5b25e85d1ad6540d7a5ae04b73ddfd,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,New Orleans Saints,New York Jets,-210.0,186.0,0.6581196581196581,0.3418803418803419,-4.5,-105.0,4.5,-105.0,40.5,-108.0,-105.0,4.0,10.0,,0.2857143,2.0,226.0,332.0,,,-106.0,3.0,11.0,,0.21428572,-2.0,276.0,397.0,,,-121.0
